incident_id,code_from_logs,code_frozen,status
82,T3,T3,OK
84,T3,T3,OK
81,T3,T3,OK
83,T4,T4,OK
97,T3,T3,OK
92,T3,T3,OK
89,T3,T3,OK
105,T3,T3,OK
113,T3,T3,OK
102,T4,T4,OK
116,T3,T3,OK
129,T3,T3,OK
144,T3,T3,OK
160,T3,T3,OK
161,T3,T3,OK
168,T3,T3,OK
153,T3,T3,OK
145,T3,T3,OK
141,T3,T3,OK
125,T3,T3,OK
156,T3,T3,OK
143,T3,T3,OK
157,T3,T3,OK
139,T3,T3,OK
142,T3,T3,OK
149,T1,T1,OK
124,T4,T4,OK
159,T3,T3,OK
127,T4,T4,OK
163,T3,T3,OK
203,T3,T3,OK
213,T3,T3,OK
175,T3,T3,OK
178,T3,T3,OK
220,T3,T3,OK
221,T3,T3,OK
181,T3,T3,OK
209,T3,T3,OK
215,T3,T3,OK
208,T3,T3,OK
211,T3,T3,OK
187,T3,T3,OK
218,T3,T3,OK
197,T3,T3,OK
230,T3,T3,OK
228,T4,T4,OK
240,T4,T4,OK
271,T3,T3,OK
268,T3,T3,OK
255,T3,T3,OK
253,T3,T3,OK
256,T3,T3,OK
265,T3,T3,OK
278,T3,T3,OK
275,T3,T3,OK
285,T3,T3,OK
293,T3,T3,OK
347,T3,T3,OK
350,T4,T4,OK
291,T3,T3,OK
292,T4,T4,OK
318,T3,T3,OK
319,T3,T3,OK
305,T3,T3,OK
282,T3,T3,OK
313,T3,T3,OK
333,T3,T3,OK
304,T3,T3,OK
331,T3,T3,OK
337,T3,T3,OK
348,T3,T3,OK
311,T3,T3,OK
317,T3,T3,OK
303,T3,T3,OK
343,T3,T3,OK
281,T3,T3,OK
322,T3,T3,OK
364,T4,T4,OK
367,T3,T3,OK
393,T3,T3,OK
363,T3,T3,OK
400,T3,T3,OK
395,T3,T3,OK
354,T3,T3,OK
353,T3,T3,OK
362,T3,T3,OK
359,T3,T3,OK
372,T3,T3,OK
386,T3,T3,OK
389,T3,T3,OK
398,T3,T3,OK
399,T3,T3,OK
401,T3,T3,OK
360,T3,T3,OK
414,T3,T3,OK
415,T3,T3,OK
416,T3,T3,OK
417,T3,T3,OK
419,T3,T3,OK
427,T3,T3,OK
431,T4,T4,OK
434,T3,T3,OK
436,T3,T3,OK
446,T3,T3,OK
447,T3,T3,OK
459,T3,T3,OK
460,T3,T3,OK
463,T4,T4,OK
465,T3,T3,OK
467,T3,T3,OK
468,T3,T3,OK
470,T3,T3,OK
471,T3,T3,OK
473,T3,T3,OK
475,T3,T3,OK
477,T3,T3,OK
489,T3,T3,OK
501,T4,T4,OK
503,T3,T3,OK
504,T3,T3,OK
511,T3,T3,OK
522,T3,T3,OK
525,T3,T3,OK
528,T3,T3,OK
533,T3,T3,OK
534,T2,T2,OK
539,T3,T3,OK
540,T3,T3,OK
549,T4,T4,OK
550,T3,T3,OK
552,T3,T3,OK
553,T3,T3,OK
554,T3,T3,OK
560,T3,T3,OK
563,T3,T3,OK
570,T3,T3,OK
571,T3,T3,OK
574,T3,T3,OK
576,T3,T3,OK
