incident_id,incident_date,in_analytical_sample,n_candidates,n_distinct_issuers,n_distinct_domestic_issuers,selected_issuer,all_candidates,discarded_issuers,tiebreak_prefer_developer,tiebreak_prefer_parent,changes_under_prefer_developer,changes_under_prefer_parent,title
82,2020-10-21,True,1,1,1,"Meta Platforms, Inc.","facebook:Meta Platforms, Inc.(LISTED)",,"Meta Platforms, Inc.","Meta Platforms, Inc.",False,False,#LekkiMassacre: Why Facebook labelled content from October 20 incident ‘false’
84,2020-10-09,True,1,1,1,"Meta Platforms, Inc.","facebook:Meta Platforms, Inc.(LISTED)",,"Meta Platforms, Inc.","Meta Platforms, Inc.",False,False,"Tiny Changes Let False Claims About COVID-19, Voting Evade Facebook Fact Checks"
81,2020-10-21,True,1,1,1,Alphabet Inc.,google:Alphabet Inc.(LISTED),,Alphabet Inc.,Alphabet Inc.,False,False,"Researchers find evidence of racial, gender, and socioeconomic bias in chest X-ray classifiers"
83,2020-10-22,True,2,2,2,Microsoft Corporation,microsoft:Microsoft Corporation(LISTED)|google:Alphabet Inc.(LISTED),Alphabet Inc.,Microsoft Corporation,Microsoft Corporation,False,False,AI Spam Filters Allegedly Block Legitimate Emails Based on Biased Keyword Detection
97,2020-10-22,True,1,1,1,"Tesla, Inc.","tesla:Tesla, Inc.(LISTED)",,"Tesla, Inc.","Tesla, Inc.",False,False,Tesla Autopilot Mistakes Red Letters on Flag for Red Traffic Lights
92,2019-11-11,True,2,2,2,The Goldman Sachs Group Inc.,goldman-sachs:The Goldman Sachs Group Inc.(LISTED)|apple:Apple Inc.(LISTED),Apple Inc.,Apple Inc.,The Goldman Sachs Group Inc.,True,False,Apple Card's Credit Assessment Algorithm Allegedly Discriminated against Women
89,2019-03-15,True,1,1,1,Alphabet Inc.,youtube:Alphabet Inc.(PARENT),,Alphabet Inc.,Alphabet Inc.,False,False,The Christchurch shooter and YouTube’s radicalization trap
105,2019-08-24,True,1,1,1,"Tesla, Inc.","tesla:Tesla, Inc.(LISTED)",,"Tesla, Inc.","Tesla, Inc.",False,False,"Tesla Model 3 on Autopilot Crashed into a Ford Explorer Pickup, Killing a Fifteen-Year-Old in California"
103,2020-09-18,False,1,1,0,"Twitter, Inc.","twitter:Twitter, Inc.(DELISTED)",,"Twitter, Inc.","Twitter, Inc.",False,False,Twitter’s Image Cropping Tool Allegedly Showed Gender and Racial Bias
113,2020-06-27,True,1,1,1,"Meta Platforms, Inc.","facebook:Meta Platforms, Inc.(LISTED)",,"Meta Platforms, Inc.","Meta Platforms, Inc.",False,False,"Facebook's AI Put ""Primates"" Label on Video Featuring Black Men"
102,2020-03-23,True,5,5,5,Microsoft Corporation,"microsoft:Microsoft Corporation(LISTED)|ibm:International Business Machines(LISTED)|google:Alphabet Inc.(LISTED)|apple:Apple Inc.(LISTED)|amazon:Amazon.com, Inc.(LISTED)","Alphabet Inc.|Amazon.com, Inc.|Apple Inc.|International Business Machines",Microsoft Corporation,Microsoft Corporation,False,False,"Personal voice assistants struggle with black voices, new study shows"
116,2021-09-20,True,1,1,1,"Amazon.com, Inc.","amazon:Amazon.com, Inc.(LISTED)",,"Amazon.com, Inc.","Amazon.com, Inc.",False,False,Amazon's AI Cameras Incorrectly Penalized Delivery Drivers for Mistakes They Did Not Make
117,2020-02-24,False,1,1,0,,tiktok:(FOREIGN),,,,False,False,"TikTok's ""Suggested Accounts"" Algorithm Allegedly Reinforced Racial Bias through Feedback Loops"
129,2021-03-01,True,1,1,1,"Meta Platforms, Inc.","facebook:Meta Platforms, Inc.(LISTED)",,"Meta Platforms, Inc.","Meta Platforms, Inc.",False,False,"Facebook's Automated Tools Failed to Adequately Remove Hate Speech, Violence, and Incitement"
144,2020-06-28,True,1,1,1,Alphabet Inc.,youtube:Alphabet Inc.(PARENT),,Alphabet Inc.,Alphabet Inc.,False,False,YouTube's AI Mistakenly Banned Chess Channel over Chess Language Misinterpretation
160,2021-12-26,True,1,1,1,"Amazon.com, Inc.","amazon:Amazon.com, Inc.(LISTED)",,"Amazon.com, Inc.","Amazon.com, Inc.",False,False,Alexa Recommended Dangerous TikTok Challenge to Ten-Year-Old Girl
161,2019-04-03,True,1,1,1,"Meta Platforms, Inc.","facebook:Meta Platforms, Inc.(LISTED)",,"Meta Platforms, Inc.","Meta Platforms, Inc.",False,False,Facebook's Ad Delivery Reportedly Excluded Audience along Racial and Gender Lines
168,2022-03-01,True,5,5,4,"Meta Platforms, Inc.","facebook:Meta Platforms, Inc.(LISTED)|linkedin:Microsoft Corporation(PARENT)|youtube:Alphabet Inc.(PARENT)|twitter:Twitter, Inc.(DELISTED)|netflix:Netflix, Inc.(LISTED)","Alphabet Inc.|Microsoft Corporation|Netflix, Inc.|Twitter, Inc.","Meta Platforms, Inc.",Microsoft Corporation,False,True,"Collaborative Filtering Prone to Popularity Bias, Resulting in Overrepresentation of Popular Items in the Reco"
133,2020-12-15,False,1,1,0,,tiktok:(FOREIGN),,,,False,False,Online Trolls Allegedly Abused TikTok’s Automated Content Reporting System to Discriminate against Marginalize
153,2019-12-29,True,1,1,1,"Tesla, Inc.","tesla:Tesla, Inc.(LISTED)",,"Tesla, Inc.","Tesla, Inc.",False,False,"Tesla Driver on Autopilot Ran a Red Light, Crashing into a Car and Killing Two People in Los Angeles"
145,2021-07-23,True,1,1,1,"Tesla, Inc.","tesla:Tesla, Inc.(LISTED)",,"Tesla, Inc.","Tesla, Inc.",False,False,Tesla's Autopilot Misidentified the Moon as Yellow Stop Light
141,2021-02-05,True,1,1,1,"Meta Platforms, Inc.","instagram:Meta Platforms, Inc.(PARENT)",,"Meta Platforms, Inc.","Meta Platforms, Inc.",False,False,California Police Turned on Music to Allegedly Trigger Instagram’s DCMA to Avoid Being Live-Streamed
125,2020-09-29,True,1,1,1,"Amazon.com, Inc.","amazon:Amazon.com, Inc.(LISTED)",,"Amazon.com, Inc.","Amazon.com, Inc.",False,False,Amazon’s Robotic Fulfillment Centers Have Higher Serious Injury Rates
132,2020-12-27,False,1,1,0,,tiktok:(FOREIGN),,,,False,False,TikTok’s Content Moderation Allegedly Failed to Adequately Take down Videos Promoting Eating Disorders
156,2022-02-04,True,1,1,1,"Amazon.com, Inc.","amazon:Amazon.com, Inc.(LISTED)",,"Amazon.com, Inc.","Amazon.com, Inc.",False,False,Amazon Reportedly Sold Products and Recommended Frequently Bought Together Items That Aid Suicide Attempts
143,2021-02-16,True,2,2,1,"Meta Platforms, Inc.","facebook:Meta Platforms, Inc.(LISTED)|twitter:Twitter, Inc.(DELISTED)","Twitter, Inc.","Meta Platforms, Inc.","Meta Platforms, Inc.",False,False,Facebook’s and Twitter's Automated Content Moderation Reportedly Failed to Effectively Enforce Violation Rules
157,2021-03-15,True,1,1,1,"Amazon.com, Inc.","amazon:Amazon.com, Inc.(LISTED)",,"Amazon.com, Inc.","Amazon.com, Inc.",False,False,"Amazon's Monitoring System Allegedly Pushed Delivery Drivers to Prioritize Speed over Safety, Leading to Crash"
139,2021-01-21,True,1,1,1,"Amazon.com, Inc.","amazon:Amazon.com, Inc.(LISTED)",,"Amazon.com, Inc.","Amazon.com, Inc.",False,False,Amazon’s Search and Recommendation Algorithms Found by Auditors to Have Boosted Products That Contained Vaccin
