incident_id,kind,cik,startdt,enddt,query,url,hits_total,hit_ids
TBD-01,SPECIFIC,1467858,2023-10-02,2024-10-02,"""Cruise""",https://efts.sec.gov/LATEST/search-index?q=%22Cruise%22&forms=8-K%2C10-K%2C10-Q&ciks=0001467858&dateRange=custom&startdt=2023-10-02&enddt=2024-10-02,,
TBD-01,SPECIFIC,1467858,2023-10-02,2024-10-02,"""robotaxi""",https://efts.sec.gov/LATEST/search-index?q=%22robotaxi%22&forms=8-K%2C10-K%2C10-Q&ciks=0001467858&dateRange=custom&startdt=2023-10-02&enddt=2024-10-02,,
TBD-01,SPECIFIC,1467858,2023-10-02,2024-10-02,"""pedestrian""",https://efts.sec.gov/LATEST/search-index?q=%22pedestrian%22&forms=8-K%2C10-K%2C10-Q&ciks=0001467858&dateRange=custom&startdt=2023-10-02&enddt=2024-10-02,,
TBD-01,GENERIC,1467858,2023-10-02,2024-10-02,"""artificial intelligence"" OR ""machine learning"" OR ""algorithm"" OR ""automated decision"" OR ""AI system"" OR ""model risk""",https://efts.sec.gov/LATEST/search-index?q=%22artificial%20intelligence%22%20OR%20%22machine%20learning%22%20OR%20%22algorithm%22%20OR%20%22automated%20decision%22%20OR%20%22AI%20system%22%20OR%20%22model%20risk%22&forms=8-K%2C10-K%2C10-Q&ciks=0001467858&dateRange=custom&startdt=2023-10-02&enddt=2024-10-02,,
TBD-02,SPECIFIC,1318605,2021-08-13,2022-08-13,"""Autopilot""",https://efts.sec.gov/LATEST/search-index?q=%22Autopilot%22&forms=8-K%2C10-K%2C10-Q&ciks=0001318605&dateRange=custom&startdt=2021-08-13&enddt=2022-08-13,,
TBD-02,SPECIFIC,1318605,2021-08-13,2022-08-13,"""NHTSA""",https://efts.sec.gov/LATEST/search-index?q=%22NHTSA%22&forms=8-K%2C10-K%2C10-Q&ciks=0001318605&dateRange=custom&startdt=2021-08-13&enddt=2022-08-13,,
TBD-02,SPECIFIC,1318605,2021-08-13,2022-08-13,"""self-driving""",https://efts.sec.gov/LATEST/search-index?q=%22self-driving%22&forms=8-K%2C10-K%2C10-Q&ciks=0001318605&dateRange=custom&startdt=2021-08-13&enddt=2022-08-13,,
TBD-02,GENERIC,1318605,2021-08-13,2022-08-13,"""artificial intelligence"" OR ""machine learning"" OR ""algorithm"" OR ""automated decision"" OR ""AI system"" OR ""model risk""",https://efts.sec.gov/LATEST/search-index?q=%22artificial%20intelligence%22%20OR%20%22machine%20learning%22%20OR%20%22algorithm%22%20OR%20%22automated%20decision%22%20OR%20%22AI%20system%22%20OR%20%22model%20risk%22&forms=8-K%2C10-K%2C10-Q&ciks=0001318605&dateRange=custom&startdt=2021-08-13&enddt=2022-08-13,,
TBD-03,SPECIFIC,1318605,2023-12-13,2024-12-13,"""full self-driving""",https://efts.sec.gov/LATEST/search-index?q=%22full%20self-driving%22&forms=8-K%2C10-K%2C10-Q&ciks=0001318605&dateRange=custom&startdt=2023-12-13&enddt=2024-12-13,,
TBD-03,SPECIFIC,1318605,2023-12-13,2024-12-13,"""recall""",https://efts.sec.gov/LATEST/search-index?q=%22recall%22&forms=8-K%2C10-K%2C10-Q&ciks=0001318605&dateRange=custom&startdt=2023-12-13&enddt=2024-12-13,,
